x_mm,y_mm,I
0.00,0.00,4.033
2.00,0.00,7.438
4.00,0.00,9.530
6.00,0.00,3.772
8.00,0.00,4.137
10.00,0.00,4.259
12.00,0.00,4.395
14.00,0.00,7.290
16.00,0.00,12.223
18.00,0.00,14.148
20.00,0.00,9.998
22.00,0.00,5.028
24.00,0.00,4.092
26.00,0.00,11.229
28.00,0.00,6.260
30.00,0.00,5.183
0.00,2.00,4.405
2.00,2.00,7.551
4.00,2.00,9.103
6.00,2.00,11.042
8.00,2.00,3.981
10.00,2.00,7.413
12.00,2.00,4.176
14.00,2.00,4.111
16.00,2.00,3.928
18.00,2.00,11.810
20.00,2.00,7.096
22.00,2.00,3.989
24.00,2.00,6.372
26.00,2.00,10.400
28.00,2.00,8.459
30.00,2.00,5.463
0.00,4.00,9.731
2.00,4.00,4.399
4.00,4.00,6.989
6.00,4.00,23.407
8.00,4.00,28.424
10.00,4.00,17.112
12.00,4.00,29.523
14.00,4.00,52.297
16.00,4.00,32.365
18.00,4.00,19.954
20.00,4.00,22.905
22.00,4.00,19.310
24.00,4.00,16.144
26.00,4.00,7.982
28.00,4.00,4.236
30.00,4.00,4.428
0.00,6.00,10.582
2.00,6.00,8.776
4.00,6.00,6.170
6.00,6.00,47.009
8.00,6.00,61.271
10.00,6.00,27.273
12.00,6.00,29.472
14.00,6.00,122.210
16.00,6.00,95.700
18.00,6.00,25.654
20.00,6.00,26.405
22.00,6.00,77.388
24.00,6.00,59.297
26.00,6.00,4.396
28.00,6.00,4.517
30.00,6.00,4.425
0.00,8.00,3.672
2.00,8.00,8.344
4.00,8.00,8.208
6.00,8.00,41.617
8.00,8.00,52.905
10.00,8.00,28.352
12.00,8.00,33.926
14.00,8.00,138.632
16.00,8.00,106.446
18.00,8.00,32.262
20.00,8.00,28.868
22.00,8.00,88.044
24.00,8.00,85.459
26.00,8.00,8.985
28.00,8.00,4.038
30.00,8.00,4.380
0.00,10.00,4.169
2.00,10.00,4.246
4.00,10.00,3.928
6.00,10.00,43.024
8.00,10.00,60.446
10.00,10.00,33.232
12.00,10.00,44.624
14.00,10.00,140.351
16.00,10.00,111.180
18.00,10.00,36.471
20.00,10.00,30.840
22.00,10.00,72.375
24.00,10.00,46.647
26.00,10.00,4.483
28.00,10.00,4.391
30.00,10.00,5.381
0.00,12.00,4.927
2.00,12.00,6.411
4.00,12.00,4.369
6.00,12.00,74.530
8.00,12.00,74.566
10.00,12.00,26.957
12.00,12.00,55.892
14.00,12.00,147.838
16.00,12.00,98.011
18.00,12.00,38.469
20.00,12.00,40.029
22.00,12.00,54.587
24.00,12.00,32.183
26.00,12.00,4.460
28.00,12.00,13.630
30.00,12.00,13.270
0.00,14.00,9.704
2.00,14.00,9.792
4.00,14.00,7.876
6.00,14.00,72.755
8.00,14.00,58.683
10.00,14.00,26.076
12.00,14.00,59.043
14.00,14.00,126.609
16.00,14.00,99.034
18.00,14.00,38.072
20.00,14.00,37.506
22.00,14.00,38.514
24.00,14.00,15.544
26.00,14.00,4.509
28.00,14.00,8.218
30.00,14.00,6.975
0.00,16.00,4.245
2.00,16.00,7.941
4.00,16.00,11.728
6.00,16.00,69.806
8.00,16.00,57.706
10.00,16.00,37.367
12.00,16.00,64.434
14.00,16.00,136.936
16.00,16.00,86.662
18.00,16.00,28.651
20.00,16.00,37.213
22.00,16.00,38.602
24.00,16.00,5.910
26.00,16.00,5.090
28.00,16.00,11.192
30.00,16.00,8.530
0.00,18.00,3.998
2.00,18.00,5.364
4.00,18.00,18.003
6.00,18.00,87.671
8.00,18.00,79.391
10.00,18.00,46.565
12.00,18.00,71.974
14.00,18.00,152.397
16.00,18.00,104.472
18.00,18.00,44.838
20.00,18.00,49.045
22.00,18.00,44.035
24.00,18.00,3.996
26.00,18.00,6.073
28.00,18.00,10.852
30.00,18.00,9.443
0.00,20.00,3.784
2.00,20.00,5.243
4.00,20.00,23.654
6.00,20.00,84.690
8.00,20.00,66.802
10.00,20.00,46.494
12.00,20.00,73.562
14.00,20.00,120.602
16.00,20.00,68.010
18.00,20.00,43.594
20.00,20.00,61.209
22.00,20.00,60.952
24.00,20.00,4.189
26.00,20.00,6.924
28.00,20.00,7.258
30.00,20.00,4.240
0.00,22.00,4.166
2.00,22.00,4.024
4.00,22.00,57.920
6.00,22.00,98.675
8.00,22.00,45.933
10.00,22.00,38.892
12.00,22.00,121.376
14.00,22.00,141.618
16.00,22.00,59.847
18.00,22.00,30.783
20.00,22.00,70.085
22.00,22.00,89.379
24.00,22.00,4.539
26.00,22.00,7.206
28.00,22.00,9.646
30.00,22.00,5.492
0.00,24.00,3.858
2.00,24.00,9.448
4.00,24.00,91.369
6.00,24.00,121.997
8.00,24.00,51.351
10.00,24.00,34.615
12.00,24.00,108.492
14.00,24.00,151.301
16.00,24.00,50.063
18.00,24.00,28.646
20.00,24.00,68.056
22.00,24.00,73.541
24.00,24.00,4.213
26.00,24.00,3.774
28.00,24.00,8.802
30.00,24.00,6.288
0.00,26.00,8.857
2.00,26.00,9.406
4.00,26.00,36.603
6.00,26.00,35.532
8.00,26.00,33.808
10.00,26.00,24.698
12.00,26.00,73.127
14.00,26.00,80.080
16.00,26.00,32.339
18.00,26.00,24.362
20.00,26.00,30.811
22.00,26.00,39.726
24.00,26.00,4.187
26.00,26.00,3.988
28.00,26.00,8.671
30.00,26.00,8.413
0.00,28.00,11.599
2.00,28.00,11.570
4.00,28.00,4.187
6.00,28.00,9.181
8.00,28.00,9.162
10.00,28.00,7.851
12.00,28.00,12.086
14.00,28.00,15.860
16.00,28.00,12.865
18.00,28.00,23.218
20.00,28.00,9.044
22.00,28.00,10.093
24.00,28.00,9.390
26.00,28.00,9.732
28.00,28.00,5.183
30.00,28.00,4.748
0.00,30.00,9.271
2.00,30.00,11.059
4.00,30.00,3.823
6.00,30.00,9.586
8.00,30.00,8.974
10.00,30.00,9.192
12.00,30.00,8.130
14.00,30.00,4.777
16.00,30.00,5.980
18.00,30.00,10.686
20.00,30.00,9.392
22.00,30.00,4.134
24.00,30.00,10.687
26.00,30.00,12.594
28.00,30.00,4.008
30.00,30.00,5.455